title,artist,album,cover,file,collection_id
Don't Stop Me Now,Queen,Discover More Classic Rock,discover_more_classic_rock.jpeg,dont_stop_me_now.mp3,queen
Bohemian Rhapsody,Queen,Stone Cold Classics,stone_cold_classics.jpeg,bohemian_rhapsody.mp3,queen
We Are The Champions,Queen,Stone Cold Classics,stone_cold_classics.jpeg,we_are_the_champions.mp3,queen
Another One Bites The Dust,Queen,Stone Cold Classics,stone_cold_classics.jpeg,another_one_bites_the_dust.mp3,queen
We Will Rock You,Queen,Stone Cold Classics,stone_cold_classics.jpeg,we_will_rock_you.mp3,queen
Radio Ga Ga,Queen,The Works (Deluxe Remastered Version),the_works_deluxe_remastered_version.jpeg,radio_ga_ga.mp3,queen
I Want To Break Free,Queen,Bohemian Rhapsody (The Original Soundtrack),bohemian_rhapsody_the_original_soundtrack.jpeg,i_want_to_break_free.mp3,queen
