title,artist,album,cover,file,collection_id
Eu Te Devoro,Djavan,Ária - Ao Vivo,aria__ao_vivo.jpeg,eu_te_devoro.mp3,djavan
Lilás,Djavan,Lilás,lilas.jpeg,lilas.mp3,djavan
Linha do Equador,Djavan,Coisa de Acender,coisa_de_acender.jpeg,linha_do_equador.mp3,djavan
Flor de Lis,Djavan,A Voz e o Violão,a_voz_e_o_violao.jpeg,flor_de_lis.mp3,djavan
Sina,Djavan,Luz,luz.jpeg,sina.mp3,djavan
Oceano,Djavan,Djavan,djavan.jpeg,oceano.mp3,djavan
Nem um Dia,Djavan,Malásia,malasia.jpeg,nem_um_dia.mp3,djavan
Samurai,Djavan,Luz,luz.jpeg,samurai.mp3,djavan
