title,artist,album,cover,file,collection_id
Songbird,Kenny G,Duotones,duotones.jpeg,songbird.mp3,kenny_g
Forever in Love,Kenny G,Breathless,breathless.jpeg,forever_in_love.mp3,kenny_g
Going Home,Kenny G,Greatest Hits,greatest_hits.jpeg,going_home.mp3,kenny_g
"Theme from ""Dying Young""",Kenny G,Greatest Hits,greatest_hits.jpeg,theme_from_dying_young.mp3,kenny_g
Sentimental,Kenny G,Breathless,breathless.jpeg,sentimental.mp3,kenny_g
The Moment,Kenny G,The Moment,the_moment.jpeg,the_moment.mp3,kenny_g
