title,artist,album,cover,file,collection_id
You Give Love A Bad Name,Bon Jovi,Slippery When Wet,slippery_when_wet.jpeg,you_give_love_a_bad_name.mp3,bon_jovi
Never Say Goodbye,Bon Jovi,Slippery When Wet,slippery_when_wet.jpeg,never_say_goodbye.mp3,bon_jovi
It's My Life,Bon Jovi,Crush,crush.jpeg,its_my_life.mp3,bon_jovi
I'll Be There For You,Bon Jovi,New Jersey,new_jersey_deluxe_edition.jpeg,ill_be_there_for_you.mp3,bon_jovi
Livin' On A Prayer,Bon Jovi,Slippery When Wet,slippery_when_wet.jpeg,livin_on_a_prayer.mp3,bon_jovi
Always,Bon Jovi,Cross Road,cross_road.jpeg,always.mp3,bon_jovi
Bed Of Roses,Bon Jovi,Keep The Faith,keep_the_faith.jpeg,bed_of_roses.mp3,bon_jovi
