title,artist,album,cover,file
Makafushigi Adventure!,Ricardo Junior,Dragon Ball (1986-1989),dragon_ball.jpeg,makafushigi_adventure.mp3
Cha-La Head-Cha-La,"Miura Jam BR, Rod Rossi","Cha-la Head-Cha-la (De ""Dragon Ball Z"")",chala_headchala_de_dragon_ball_z.jpeg,chala_headchala.mp3
We Gotta Power,Miura Jam BR,We Gotta Power (Dragon Ball Z),we_gotta_power_dragon_ball_z.jpeg,we_gotta_power.mp3
Sorriso Resplandecente,Ricardo Junior,Sorriso Resplandecente (from Dragon Ball GT),sorriso_resplandecente_from_dragon_ball_gt.jpeg,sorriso_resplandecente.mp3
Dragon Soul,"Miura Jam BR, Rod Rossi",Dragon Soul,dragon_soul.jpeg,dragon_soul.mp3
