title,artist,album,cover,file,collection_id
Blame,"Calvin Harris, John Newman",Motion,motion.jpeg,blame.mp3,calvin_harris
Outside,"Calvin Harris, Ellie Goulding",Motion,motion.jpeg,outside.mp3,calvin_harris
Feel So Close,Calvin Harris,18 Months,18_months.jpeg,feel_so_close.mp3,calvin_harris
Summer,Calvin Harris,Motion,motion.jpeg,summer.mp3,calvin_harris
One Kiss,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),one_kiss_with_dua_lipa.jpeg,one_kiss.mp3,calvin_harris
This Is What You Came For,"Calvin Harris, Rihanna",This Is What You Came For,this_is_what_you_came_for.jpeg,this_is_what_you_came_for.mp3,calvin_harris
How Deep Is Your Love,"Calvin Harris, Disciples",How Deep Is Your Love,how_deep_is_your_love.jpeg,how_deep_is_your_love.mp3,calvin_harris
