title,artist,album,cover,file,collection_id
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,viva_la_vida_or_death_and_all_his_friends.jpeg,viva_la_vida.mp3,coldplay
A Sky Full of Stars,Coldplay,Ghost Stories,ghost_stories.jpeg,a_sky_full_of_stars.mp3,coldplay
Paradise,Coldplay,Mylo Xyloto,mylo_xyloto.jpeg,paradise.mp3,coldplay
Clocks,Coldplay,A Rush of Blood to the Head,a_rush_of_blood_to_the_head.jpeg,clocks.mp3,coldplay
Trouble,Coldplay,Parachutes,parachutes.jpeg,trouble.mp3,coldplay
Don't Panic,Coldplay,Parachutes,parachutes.jpeg,dont_panic.mp3,coldplay
Yellow,Coldplay,Parachutes,parachutes.jpeg,yellow.mp3,coldplay
Fix You,Coldplay,X&Y,xy.jpeg,fix_you.mp3,coldplay
