title,artist,album,cover,file,collection_id
Alone,Alan Walker,Different World,different_world.jpeg,alone.mp3,alan_walker
Faded,Alan Walker,Different World,different_world.jpeg,faded.mp3,alan_walker
Sing Me to Sleep,Alan Walker,Sing Me to Sleep,sing_me_to_sleep.jpeg,sing_me_to_sleep.mp3,alan_walker
Darkside,"Alan Walker, Au/Ra, Tomine Harket",Different World,different_world.jpeg,darkside.mp3,alan_walker
The Spectre,Alan Walker,The Spectre,the_spectre.jpeg,the_spectre.mp3,alan_walker
Blue,"Alan Walker, Ina Wroldsen",Walkerverse Pt. I & II,walkerverse_pt_i__ii.jpeg,blue.mp3,alan_walker
Tired,"Alan Walker, Gavin James",Tired,tired.jpeg,tired.mp3,alan_walker
Somebody Like U,"Alan Walker, Au/Ra",Walkerverse Pt. I & II,walkerverse_pt_i__ii.jpeg,somebody_like_u.mp3,alan_walker
