title,artist,album,cover,file
DRIVING MY LOVE,Anri,Timely!!,timely.jpeg,driving_my_love.mp3
Good Bye Boogie Dance,Anri,Bi Ki Ni,bikini.jpeg,good_bye_boogie_dance.mp3
Heaven Beach,Anri,Heaven Beach,heaven_beach.jpeg,heaven_beach.mp3
I Can't Stop The Loneliness,Anri,Timely!!,timely.jpeg,i_cant_stop_the_loneliness.mp3
Last Summer Whisper,Anri,Heaven Beach,heaven_beach.jpeg,last_summer_whisper.mp3
Remember Summer Days,Anri,Timely!!,timely.jpeg,remember_summer_days.mp3
STAY BY ME,Anri,Timely!!,timely.jpeg,stay_by_me.mp3
Shyness Boy,Anri,Timely!!,timely.jpeg,shyness_boy.mp3
Windy Summer,Anri,Timely!!,timely.jpeg,windy_summer.mp3
