title,artist,album,cover,file
Será,Legião Urbana,Legião Urbana,legiao_urbana.jpeg,sera.mp3
Ainda É Cedo,Legião Urbana,Legião Urbana,legiao_urbana.jpeg,ainda_e_cedo.mp3
Geração Coca-Cola,Legião Urbana,Legião Urbana,legiao_urbana.jpeg,geracao_cocacola.mp3
Que País É Este,Legião Urbana,Que País É Este,que_pais_e_este.jpeg,que_pais_e_este.mp3
Eu Sei,Legião Urbana,Que Pais E Este,que_pais_e_este.jpeg,eu_sei.mp3
Há Tempos,Legião Urbana,As Quatro Estações,as_quatro_estacoes.jpeg,ha_tempos.mp3
Meninos E Meninas,Legião Urbana,As Quatro Estações,as_quatro_estacoes.jpeg,meninos_e_meninas.mp3
Se Fiquei Esperando Meu Amor Passar,Legião Urbana,As Quatro Estações,as_quatro_estacoes.jpeg,se_fiquei_esperando_meu_amor_passar.mp3
Sete Cidades,Legião Urbana,As Quatro Estações,as_quatro_estacoes.jpeg,sete_cidades.mp3
Pais E Filhos,Legião Urbana,As Quatro Estações,as_quatro_estacoes.jpeg,pais_e_filhos.mp3
Quando O Sol Bater Na Janela Do Teu Quarto,Legião Urbana,As Quatro Estações,as_quatro_estacoes.jpeg,quando_o_sol_bater_na_janela_do_teu_quarto.mp3
Eu Era Um Lobisomem Juvenil,Legião Urbana,As Quatro Estações,as_quatro_estacoes.jpeg,eu_era_um_lobisomem_juvenil.mp3
Maurício,Legião Urbana,As Quatro Estações,as_quatro_estacoes.jpeg,mauricio.mp3
Tempo Perdido,Legião Urbana,Dois,dois.jpeg,tempo_perdido.mp3
Eduardo E Mônica,Legião Urbana,Dois,dois.jpeg,eduardo_e_monica.mp3
Quase Sem Querer,Legião Urbana,Dois,dois.jpeg,quase_sem_querer.mp3
Daniel Na Cova Dos Leões,Legião Urbana,Dois,dois.jpeg,daniel_na_cova_dos_leoes.mp3
Andrea Doria,Legião Urbana,Dois,dois.jpeg,andrea_doria.mp3
Índios,Legião Urbana,Dois,dois.jpeg,indios.mp3
O Mundo Anda Tão Complicado,Legião Urbana,Legiao Urbana V,legiao_urbana_v.jpeg,o_mundo_anda_tao_complicado.mp3
O Teatro Dos Vampiros,Legião Urbana,Legiao Urbana V,legiao_urbana_v.jpeg,o_teatro_dos_vampiros.mp3
Vento No Litoral,Legião Urbana,Legiao Urbana V,legiao_urbana_v.jpeg,vento_no_litoral.mp3
Giz,Legião Urbana,O Descobrimento Do Brasil,o_descobrimento_do_brasil.jpeg,giz.mp3
