title,artist,album,cover,file
Don't Wanna Know,"Maroon 5, Kendrick Lamar",Red Pill Blues (Deluxe),red_pill_blues_deluxe.jpeg,dont_wanna_know.mp3
Memories,Mar oon 5,JORDI (Deluxe),jordi_deluxe.jpeg,memories.mp3
Sunday Morning,Maroon 5,Songs About Jane: 10th Anniversary Edition,songs_about_jane_10th_anniversary_edition.jpeg,sunday_morning.mp3
Animals,Maroon 5,V,v.jpeg,animals.mp3
This Love,Maroon 5,Songs About Jane: 10th Anniversary Edition,songs_about_jane_10th_anniversary_edition.jpeg,this_love.mp3
Moves Like Jagger,Maroon 5,Hands All Over,hands_all_over.jpeg,moves_like_jagger.mp3
Won't Go Home Without You,Maroon 5,It Won't Be Soon Before Long (International Version),it_wont_be_soon_before_long_international_version.jpeg,wont_go_home_without_you.mp3
One More Night,Maroon 5,Overexposed Track By Track,overexposed_track_by_track.jpeg,one_more_night.mp3
Payphone,"Maroon 5, Wiz Khalifa",Overexposed Track By Track,overexposed_track_by_track.jpeg,payphone.mp3
Maps,Maroon 5,V,v.jpeg,maps.mp3
Misery,Maroon 5,Hands All Over (Revised International Standard version),hands_all_over_revised_international_standard_version.jpeg,misery.mp3
What Lovers Do,"Maroon 5, SZA",Red Pill Blues (Deluxe),red_pill_blues_deluxe.jpeg,what_lovers_do.mp3
Cold,"Maroon 5, Future",Red Pill Blues (Deluxe),red_pill_blues_deluxe.jpeg,cold.mp3
